date,Binancecoin,Aptos
2021-06-01,361.66565480634273,
2021-06-02,402.6103887950831,
2021-06-03,428.93001062084943,
2021-06-04,392.28088322664473,
2021-06-05,388.33019075735723,
2021-06-06,392.0265012406166,
2021-06-07,356.26141468125365,
2021-06-08,353.7624004673745,
2021-06-09,376.18736712521803,
2021-06-10,352.39187862755034,
2021-06-11,346.0770263345878,
2021-06-12,345.0457266991574,
2021-06-13,365.2476466395085,
2021-06-14,371.00423762337175,
2021-06-15,369.0197344143191,
2021-06-16,346.43933841857296,
2021-06-17,353.2126444369965,
2021-06-18,337.6347927394546,
2021-06-19,335.07018119431814,
2021-06-20,340.2281584344195,
2021-06-21,274.27055686293926,
2021-06-22,261.43223961520897,
2021-06-23,296.1273022004297,
2021-06-24,308.79361050917015,
2021-06-25,284.0782307500083,
2021-06-26,277.39963231242126,
2021-06-27,289.2248669688827,
2021-06-28,291.0298352850683,
2021-06-29,300.9239255732945,
2021-06-30,303.7424426595392,
2021-07-01,289.1924506931423,
2021-07-02,288.1721729444467,
2021-07-03,298.4150443566236,
2021-07-04,308.2587161797882,
2021-07-05,304.0232646044936,
2021-07-06,320.3670298197941,
2021-07-07,328.28831490686645,
2021-07-08,311.53319583895274,
2021-07-09,318.3107569140051,
2021-07-10,317.67435605424265,
2021-07-11,322.219354764812,
2021-07-12,317.7586462992751,
2021-07-13,308.8603138834186,
2021-07-14,309.4339650052979,
2021-07-15,314.6362318425904,
2021-07-16,302.3938694991528,
2021-07-17,300.92427931101014,
2021-07-18,304.2662316676439,
2021-07-19,282.23704136302297,
2021-07-20,266.3980943719025,
2021-07-21,293.84319116155376,
2021-07-22,293.8016653905489,
2021-07-23,297.6400291647872,
2021-07-24,301.4738994735757,
2021-07-25,305.4674583615863,
2021-07-26,302.9585615137897,
2021-07-27,313.4962897355437,
2021-07-28,313.7134832723744,
2021-07-29,317.11529159036354,
2021-07-30,322.74375771474973,
2021-07-31,334.98502851591746,
2021-08-01,332.3726400184503,
2021-08-02,331.452599995454,
2021-08-03,323.0998008181091,
2021-08-04,334.9795053490896,
2021-08-05,338.2818687741271,
2021-08-06,342.27520930886874,
2021-08-07,356.21901128850396,
2021-08-08,341.45649731912124,
2021-08-09,354.86681082174385,
2021-08-10,372.73212363858596,
2021-08-11,391.9444529953977,
2021-08-12,385.11114348041565,
2021-08-13,410.21123138822196,
2021-08-14,409.3239523090878,
2021-08-15,413.352941129316,
2021-08-16,416.9093485124447,
2021-08-17,401.4108438239085,
2021-08-18,401.11859917961044,
2021-08-19,430.26289463296433,
2021-08-20,453.52976111650503,
2021-08-21,450.152782312137,
2021-08-22,448.5460498577836,
2021-08-23,499.6471922438925,
2021-08-24,472.56789940825763,
2021-08-25,503.0600194308284,
2021-08-26,483.59478097364973,
2021-08-27,494.4910267549098,
2021-08-28,486.1135106261634,
2021-08-29,481.11230727270197,
2021-08-30,461.0741328057276,
2021-08-31,466.3250681926073,
2021-09-01,490.1903097419243,
2021-09-02,484.92303782064835,
2021-09-03,487.5028155359726,
2021-09-04,499.23220832331145,
2021-09-05,502.64789931106213,
2021-09-06,497.3629972066087,
2021-09-07,418.7199041232581,
2021-09-08,414.01508472530526,
2021-09-09,421.90434620430176,
2021-09-10,401.63387407746995,
2021-09-11,404.1454767462771,
2021-09-12,417.78466673455966,
2021-09-13,400.88829550518807,
2021-09-14,414.29388624030463,
2021-09-15,429.92698493835917,
2021-09-16,424.9286346297753,
2021-09-17,405.92466228296115,
2021-09-18,411.49215032485296,
2021-09-19,409.8656741984923,
2021-09-20,363.8928187736703,
2021-09-21,343.8883778193333,
2021-09-22,378.304383892215,
2021-09-23,384.8505093844634,
2021-09-24,355.7512176219757,
2021-09-25,351.3197716355193,
2021-09-26,344.5604683588748,
2021-09-27,335.6370807457751,
2021-09-28,332.2069635513584,
2021-09-29,368.21137136727407,
2021-09-30,387.5183524683549,
2021-10-01,421.4675125853655,
2021-10-02,429.3505314242623,
2021-10-03,431.4490158127125,
2021-10-04,427.5458615165339,
2021-10-05,443.4354477289843,
2021-10-06,435.2620060917299,
2021-10-07,439.9326470373653,
2021-10-08,418.31734306238405,
2021-10-09,422.312499600526,
2021-10-10,404.32984207958265,
2021-10-11,412.9041662172662,
2021-10-12,440.36732782218525,
2021-10-13,469.5721483361627,
2021-10-14,471.83904758364673,
2021-10-15,476.06043685916666,
2021-10-16,467.81392063599463,
2021-10-17,470.6037423333306,
2021-10-18,484.96283076555414,
2021-10-19,488.5758698597108,
2021-10-20,503.12263901994754,
2021-10-21,472.6932063610324,
2021-10-22,481.1525290008791,
2021-10-23,484.83585324776277,
2021-10-24,477.9704015575551,
2021-10-25,487.15211541381655,
2021-10-26,478.44458996042187,
2021-10-27,450.85609413572087,
2021-10-28,491.7140407371403,
2021-10-29,529.2882472230272,
2021-10-30,526.9439227746522,
2021-10-31,524.7049325140741,
2021-11-01,551.2885678600875,
2021-11-02,555.3427586577659,
2021-11-03,569.4164593460114,
2021-11-04,561.0755439359384,
2021-11-05,607.3883112866952,
2021-11-06,636.0540957346044,
2021-11-07,650.4955187419658,
2021-11-08,654.5480093929862,
2021-11-09,636.9276179113473,
2021-11-10,611.442280988011,
2021-11-11,629.7114198219757,
2021-11-12,629.0951051768023,
2021-11-13,652.233781780782,
2021-11-14,654.6251958260524,
2021-11-15,635.7060101886829,
2021-11-16,591.3491128080688,
2021-11-17,580.0133147253715,
2021-11-18,530.9570129634238,
2021-11-19,584.2926021273962,
2021-11-20,605.5286170448769,
2021-11-21,590.2541189074999,
2021-11-22,559.9888491894189,
2021-11-23,593.4866916637089,
2021-11-24,591.4138284048736,
2021-11-25,638.1682733737293,
2021-11-26,585.565593002117,
2021-11-27,598.0658826532297,
2021-11-28,611.4482335847231,
2021-11-29,623.8191584314648,
2021-11-30,624.0478871415212,
2021-12-01,627.5298135272164,
2021-12-02,620.5070871087867,
2021-12-03,596.4043662845299,
2021-12-04,567.2495179476927,
2021-12-05,555.8212703932991,
2021-12-06,588.4348263784073,
2021-12-07,578.5399946338938,
2021-12-08,604.9915670300866,
2021-12-09,574.641806152582,
2021-12-10,553.6133877159856,
2021-12-11,564.2782554939088,
2021-12-12,569.0004263105781,
2021-12-13,522.8376226690576,
2021-12-14,527.2875946201649,
2021-12-15,539.3565808593963,
2021-12-16,526.9418353141148,
2021-12-17,526.4854789150172,
2021-12-18,536.1871682219864,
2021-12-19,530.1187422479649,
2021-12-20,526.5978524574593,
2021-12-21,530.0064075047421,
2021-12-22,534.6981367362372,
2021-12-23,549.8265817194211,
2021-12-24,542.6983592819216,
2021-12-25,548.7449450690223,
2021-12-26,547.4764999433936,
2021-12-27,564.6778030444042,
2021-12-28,536.1753306823955,
2021-12-29,514.1864863211885,
2021-12-30,518.3716411383205,
2021-12-31,511.8047669798138,
2022-01-01,528.8656538402871,
2022-01-02,531.645840127719,
2022-01-03,513.2364309427686,
2022-01-04,508.80180480659266,
2022-01-05,476.57900201689165,
2022-01-06,474.7851450069993,
2022-01-07,448.57883955435494,
2022-01-08,430.92942233592515,
2022-01-09,439.156625815727,
2022-01-10,425.3108797625643,
2022-01-11,463.4275547369332,
2022-01-12,486.90638492744864,
2022-01-13,476.5975674395728,
2022-01-14,490.0587450233676,
2022-01-15,495.22486715749994,
2022-01-16,498.59986069893665,
2022-01-17,476.3945519061945,
2022-01-18,471.75845097802204,
2022-01-19,464.38929629781495,
2022-01-20,441.5417572067395,
2022-01-21,383.86404934716313,
2022-01-22,359.0134419494436,
2022-01-23,383.3773709361465,
2022-01-24,372.5032006223924,
2022-01-25,385.1048428042205,
2022-01-26,376.4547135125805,
2022-01-27,391.3431655632998,
2022-01-28,386.6374670963409,
2022-01-29,390.1593565970201,
2022-01-30,378.3370193560595,
2022-01-31,376.51047776345945,
2022-02-01,386.42137000970774,
2022-02-02,367.78060888976273,
2022-02-03,370.67591619482783,
2022-02-04,400.05369289690856,
2022-02-05,414.64214989920873,
