Date,USDT,% off peg
2020-12-29,1.0012237308367522,0.12237308367522015
2020-12-30,1.0015644877238365,0.15644877238365495
2020-12-31,1.0000520646337905,0.005206463379048287
2021-01-01,1.001992607019633,0.1992607019632997
2021-01-02,1.0031205093162412,0.31205093162411934
2021-01-03,1.0007211864651786,0.07211864651786026
2021-01-04,0.9997061275089264,-0.029387249107359903
2021-01-05,1.002747178640493,0.2747178640492898
2021-01-06,1.007831528615089,0.7831528615088956
2021-01-07,1.0011229764103136,0.11229764103135587
2021-01-08,1.0025753237228696,0.2575323722869616
2021-01-09,1.0052281707835635,0.5228170783563524
2021-01-10,1.002045316205101,0.20453162051010665
2021-01-11,1.0085184528161932,0.8518452816193234
2021-01-12,1.002325277523874,0.23252775238740142
2021-01-13,1.0036185497396932,0.3618549739693222
2021-01-14,0.9978763563497435,-0.21236436502565237
2021-01-15,1.0005219609799012,0.05219609799012037
2021-01-16,1.0021410577808154,0.2141057780815414
2021-01-17,0.9981823506819849,-0.1817649318015091
2021-01-18,1.0001498685694359,0.014986856943588478
2021-01-19,0.9974581028851843,-0.2541897114815672
2021-01-20,0.9977563084936041,-0.22436915063959173
2021-01-22,1.0004118150368448,0.041181503684484255
2021-01-23,0.9985816708045647,-0.1418329195435275
2021-01-24,0.9995861458889471,-0.04138541110528804
2021-01-25,1.000845728217716,0.08457282177158909
2021-01-26,1.0032012535425445,0.32012535425445243
2021-01-27,1.0020747524199969,0.20747524199968836
2021-01-28,0.9988605467210793,-0.11394532789207323
2021-01-29,0.9950403069828191,-0.49596930171809106
2021-01-30,0.996505221791999,-0.3494778208001037
2021-01-31,1.0008892766480473,0.08892766480472769
2021-02-01,0.997456462958835,-0.2543537041164945
2021-02-02,1.00092924375145,0.09292437514500929
2021-02-03,0.9999192785170844,-0.008072148291560222
2021-02-04,1.0013961086459804,0.13961086459803873
2021-02-05,1.0020402100499148,0.20402100499148368
2021-02-06,0.9993774420967774,-0.06225579032226314
2021-02-07,0.9987334794002474,-0.12665205997526296
2021-02-08,1.0029681186643629,0.2968118664362862
2021-02-09,0.9955613086131869,-0.4438691386813076
2021-02-10,0.9980188425315342,-0.19811574684658328
2021-02-11,0.9976065477985809,-0.23934522014190662
2021-02-12,0.9971660636322055,-0.28339363677944984
2021-02-13,0.9987743893692156,-0.12256106307844128
2021-02-14,0.9963012253049722,-0.36987746950277733
2021-02-15,1.000179350236608,0.017935023660808902
2021-02-16,1.0010787189520225,0.10787189520224949
2021-02-17,1.0006737897232774,0.06737897232773626
2021-02-18,1.0002892383934674,0.028923839346739477
2021-02-19,1.0063494201161378,0.6349420116137816
2021-02-20,1.0050564611267065,0.5056461126706546
2021-02-21,1.0035908181165718,0.35908181165718034
2021-02-22,1.00526547101203,0.5265471012029899
2021-02-23,1.003709073360311,0.37090733603108994
2021-02-24,1.0102885652106228,1.0288565210622824
2021-02-25,1.0037216583661528,0.37216583661527913
2021-02-26,1.008045060202137,0.8045060202136911
2021-02-27,0.9939959643988855,-0.600403560111451
2021-02-28,1.0113555250256239,1.135552502562387
2021-03-01,1.0082341930870489,0.8234193087048869
2021-03-02,1.0084334103697004,0.8433410369700356
2021-03-03,0.9992257050667218,-0.07742949332781857
2021-03-04,1.0033030825386902,0.3303082538690161
2021-03-05,0.9984892002294907,-0.15107997705092746
2021-03-06,1.0018489938284245,0.18489938284245166
2021-03-07,1.0031368203940585,0.31368203940584927
2021-03-08,1.0003581505032315,0.035815050323151354
2021-03-09,1.0025052876368936,0.2505287636893616
2021-03-10,0.99708315910683,-0.2916840893170014
2021-03-11,1.0022334951787044,0.22334951787044144
2021-03-12,1.0020283285736966,0.2028328573696614
2021-03-13,1.0019526939208985,0.1952693920898474
2021-03-14,1.0037034725327185,0.37034725327185214
2021-03-15,1.0030356362712534,0.30356362712533613
2021-03-16,1.0016482420734711,0.164824207347114
2021-03-17,1.0040468959025728,0.4046895902572789
2021-03-18,1.0038757839141883,0.3875783914188302
2021-03-19,1.0043861429391077,0.43861429391076623
2021-03-20,1.0043554721297197,0.4355472129719651
2021-03-21,1.0033918588840112,0.33918588840111674
2021-03-22,1.003584866253436,0.3584866253435903
2021-03-23,0.9983564056845696,-0.16435943154303745
2021-03-24,0.9988596179154713,-0.11403820845287127
2021-03-25,0.99888229884411,-0.11177011558900496
2021-03-26,0.9995590204298576,-0.04409795701424413
2021-03-27,1.00000476986206,0.0004769862059994523
2021-03-28,1.0034283135919952,0.3428313591995247
2021-03-29,0.9992236097073386,-0.07763902926614108
2021-03-30,0.9999055053089563,-0.009449469104372277
2021-03-31,1.0002878265584567,0.028782655845671634
2021-04-01,1.0007356616719212,0.07356616719211839
2021-04-02,1.0005610520589574,0.056105205895740085
2021-04-03,1.0006372874310274,0.06372874310274224
2021-04-04,1.000522937980545,0.05229379805449241
2021-04-05,0.9993282015573209,-0.06717984426790613
2021-04-06,1.0003031058101515,0.030310581015147164
2021-04-07,0.9994598870477507,-0.054011295224931644
2021-04-08,1.0017759574376317,0.17759574376317033
2021-04-09,0.999502702667857,-0.049729733214298744
2021-04-10,0.9992581024486542,-0.07418975513457937
2021-04-11,1.0009346806112622,0.09346806112622286
2021-04-12,1.0007932712662302,0.07932712662301888
2021-04-13,1.0012285549919155,0.12285549919155425
2021-04-14,0.9996718883665571,-0.032811163344292904
2021-04-15,0.9999811965131331,-0.0018803486866891816
2021-04-16,0.9989265487459564,-0.1073451254043567
2021-04-17,1.0013489927596377,0.1348992759637735
2021-04-18,1.00058387043682,0.05838704368199554
