chain,platform,pool_tokens,pool_rewards,liquidity_locked,apy,apy_max
ethereum,convex,['FRAX'],['FXS'],"$1,084,040.33",1635.61%,2636.42%
arbitrum,arbidex,"['frxETH', 'WETH']",['ARX'],"$54,384.89",1626.52%,1626.52%
ethereum,saddle,"['FRAX', 'USDC', 'sUSD']",['SDL'],"$10,082.96",1527.11%,3817.78%
arbitrum,saddle,"['FRAX', 'USDC', 'USDT']",['SDL'],"$10,161.49",1524.21%,3797.18%
ethereum,fpis,['FPIS'],['FPIS'],"$21,792,131.44",1431.25%,5725.00%
bsc,thena,"['DOLA', 'FRAX']",['THE'],$0.00,1411.76%,1411.76%
ethereum,convex,['FRAX'],['FXS'],"$50,062.62",1401.15%,2446.01%
ethereum,convex,"['FRAX', 'USDC', 'eUSD']","['CRV', 'CVX']","$10,179,057.91",1394.32%,1394.32%
ethereum,convex,"['FRAX', 'USDC', 'SDT']","['CRV', 'CVX']","$1,088,083.59",1385.63%,1385.63%
ethereum,convex,['FRAX'],['FXS'],"$326,686.51",1304.72%,1305.47%
ethereum,convex,"['FRAX', 'USDC', 'sUSD']","['CRV', 'CVX']","$326,686.51",1304.62%,1304.62%
aurora,rose,"['FRAX', 'RoseStablesLP']",['ROSE'],"$27,044.20",1300.00%,1300.00%
arbitrum,ramses,"['frxETH', 'sfrxETH']",['RAM'],"$74,068.04",1281.41%,3203.52%
ethereum,stakedao,"['FRAX', 'USDC', 'DAI', 'USDT']","['SDT', 'CRV']","$17,254.77",1259.98%,1259.98%
ethereum,bunni,"['FRAX', 'USDC']","['FXS', 'oLIT']",$34.34,1233.79%,6168.94%
optimism,saddle,"['FRAX', 'USDC', 'OptUSD']",['SDL'],"$13,171.65",1220.34%,2973.86%
fantom,beefy_finance,['FRAX'],['FRAX'],$42.91,1205.00%,1205.00%
bsc,thena,"['FRAX', 'USDT']",['THE'],$0.00,1186.57%,1186.57%
arbitrum,ramses,"['FRAX', 'USDC']",['RAM'],"$284,876.19",1182.01%,2955.03%
ethereum,convex,['FRAX'],['FXS'],"$1,832,192.78",1144.82%,1316.51%
arbitrum,arbidex,"['FRAX', 'USDCe']",['ARX'],"$232,178.32",1142.98%,1142.98%
ethereum,convex,"['FRAX', 'USDC', 'ZUSD']","['CRV', 'CVX']","$5,010,222.70",1141.47%,1141.47%
ethereum,convex,"['FRAX', 'USDC', 'agEUR']","['CRV', 'CVX']","$54,211.15",1140.13%,1140.13%
polygon,dystopia,"['FRAX', 'FXS']",['DYST'],$721.47,1134.14%,2835.35%
ethereum,convex,"['FRAX', 'DAI', 'USDC', 'USDT']","['CRV', 'CVX']","$16,809,327.92",1122.06%,1122.06%
ethereum,yearn,"['FRAX', 'DAI', 'USDC', 'USDT']",['FRAX3CRV-f'],"$684,724.26",1107.13%,1107.13%
ethereum,convex,"['FRAX', 'USDC', 'cvxFXS']","['CRV', 'CVX']","$1,838,490.75",1100.52%,1100.52%
ethereum,convex,"['FRAX', 'SILO']","['CRV', 'CVX']","$57,566.91",1077.24%,1077.24%
moonriver,alphadex,"['FRAX', 'WMOVR']",['BBROAR'],$150.42,1067.70%,1067.70%
ethereum,stakedao,"['frxETH', 'sfrxETH']","['SDT', 'CRV']","$1,005,133.89",1052.78%,1634.61%
