name,display_name,change_1d,change_7d,change_1m
HiveSwap,HiveSwap,0,51.12,163.43
Honeyswap,Honeyswap,55.13,-15.59,-54.42
HorizonDEX,HorizonDEX,-16.26,403.78,
Huckleberry AMM,Huckleberry AMM,-55.49,-45.97,-53.23
Humble Defi,Humble Defi,-11.13,-44.03,-67.25
Hummus Exchange,Hummus Exchange,437.97,178.12,110.05
Hydradex V2,Hydradex V2,68.86,232.36,23.6
Hydradex V3,Hydradex V3,,,
HyperJump,HyperJump,-1.39,-26.9,26.78
IcecreamSwap,IcecreamSwap,21,109.96,68.65
ICPSwap,ICPSwap,375.32,1247.73,
Increment Swap,Increment Swap,61.9,-57.48,-26.77
Integral,Integral,19.62,-35.15,-28.74
iZiSwap,iZiSwap,-46.17,-18.18,21556.75
JediSwap,JediSwap,25.84,9.81,78.42
JetSwap,JetSwap,-79.96,-99.28,-99.27
Joe V2.1,Joe V2.1,-41.03,26.52,-23.89
JSwap,JSwap,,,
Kaidex,Kaidex,90.03,2491.91,-18.35
Karura Swap,Karura Swap,-60.37,-30.78,54.15
Katana DEX,Katana DEX,-69.56,-17.23,-38.55
Kava Swap,Kava Swap,-29.43,59.21,4.26
KlaySwap,KlaySwap,38.72,-21.14,-10.24
KLEX Finance,KLEX Finance,-40.26,67.2,266.67
KnightSwap Finance,KnightSwap Finance,-38.07,-59.66,-64.98
Kokonut Swap,Kokonut Swap,2.7,-48.14,29.89
Koyo Finance,Koyo Finance,,,
KuSwap,KuSwap,848.05,55.27,73.95
KyberSwap Classic,KyberSwap - Classic,-45.89,24.28,-40.75
KyberSwap Elastic,KyberSwap - Elastic,23.26,-14.64,-23.53
KyotoSwap,KyotoSwap,-31.81,-71.08,7.88
LeonicornSwap,LeonicornSwap,0,-50.19,-29.49
Level Finance,Level Finance,-36.25,-55.82,-88.01
Levinswap,Levinswap,-78.98,6.04,-79.45
Lif3 Swap,Lif3 Swap,8.02,154.43,1185.62
Lifinity,Lifinity,208.65,56.27,267.79
Lighter,Lighter,11.29,179.66,-19.66
LiquidSwap,LiquidSwap,-8.52,27.4,7.23
Litx,Litx,127.57,-27.38,-92.79
LuaSwap,LuaSwap,27.5,108.88,-49.53
LumenSwap,LumenSwap,69.76,-59.68,559.1
Maia V3,Maia V3,-25.22,-52.43,-73.07
MakiSwap,MakiSwap,,,
Maverick Protocol,Maverick Protocol,37.84,-1.82,26.06
MDEX,MDEX,-21.42,-43.09,-63.1
Megaton Finance,Megaton Finance,195.49,283.22,15.83
MERLIN DEX,MERLIN DEX,,,
Meshswap,Meshswap,22.73,-31.15,-30.2
MetaTdex,MetaTdex,-12.63,1.33,2.94
Metavault.Trade,Metavault.Trade,1363.9,1612.23,99.68
Metropolis,Metropolis,,,
MiaSwap,MiaSwap,118.86,348.82,-81.56
Mimo,Mimo,,,
Minswap,Minswap,-32.02,-31.2,-24.84
MistSwap,MistSwap,,,
MM Finance Arbitrum,MM Finance Arbitrum,-9.24,-39.72,11.95
MM Stableswap Polygon,MM Stableswap Polygon,84.8,209.75,21.23
Mobius Money,Mobius Money,249.71,-99.13,-53.3
MojitoSwap,MojitoSwap,448.34,-1.78,-13.42
Moon Swap,Moon Swap,-40,-30.4,-58.83
MooniSwap,MooniSwap,-29.8,-8.79,69.86
Morpheus Swap,Morpheus Swap,-6.75,-62.6,277.78
Morphex,Morphex - SWAP,-75.74,-39.27,-98.21
MuesliSwap,MuesliSwap,26.92,133.86,289.69
Mummy Finance,Mummy Finance,73.81,-23.48,-63.72
Mute.io,Mute.io,-93.63,34.35,-0.86
mySwap,mySwap,15.16,-23.76,37.08
Native,Native,-12.87,-21.46,99.21
NetSwap,NetSwap,-17.83,-9.35,11.65
Nomiswap,Nomiswap,14.36,-4.22,-27.81
OKCSwap,OKCSwap,366.46,74.92,7.4
OnePunchSwap,OnePunchSwap,,,
OolongSwap,OolongSwap,-72.97,-80.86,
OpenBook,OpenBook,90.5,21.29,153.38
