date,volume
2022-06-25,671306.9416633435
2022-06-26,669693.0469520986
2022-06-27,1155949.3331450485
2022-06-28,465628.663131943
2022-06-29,502907.56866710074
2022-06-30,792765.977461826
2022-07-01,382919.389126312
2022-07-02,478440.9763667956
2022-07-03,460650.0599478781
2022-07-04,631171.9856053144
2022-07-05,356342.04074456356
2022-07-06,498695.8177796472
2022-07-07,589999.0661959145
2022-07-08,376808.8877387028
2022-07-09,951680.6114814207
2022-07-10,323837.6159656234
2022-07-11,757152.1603788976
2022-07-12,510490.4005331211
2022-07-13,632071.3905526437
2022-07-14,886884.9261138476
2022-07-15,625375.5163168125
2022-07-16,463928.62445903756
2022-07-17,710939.8246993478
2022-07-18,649108.6675330587
2022-07-19,1313426.0864707138
2022-07-20,627412.1092700139
2022-07-21,971378.0412463937
2022-07-22,422045.0497034341
2022-07-23,393140.49076770246
2022-07-24,394509.1571954824
2022-07-25,581541.499306038
2022-07-26,793387.6840563416
2022-07-27,537531.6929977126
2022-07-28,732135.9444060735
2022-07-29,1359393.517938111
2022-07-30,487676.681577757
2022-07-31,748836.1174484342
2022-08-01,1389310.9457947165
2022-08-02,780985.0254621543
2022-08-03,772639.330460079
2022-08-04,720760.3341024071
2022-08-05,1070489.5327145457
2022-08-06,956858.6940353761
2022-08-07,403190.9916672786
2022-08-08,739145.118026406
2022-08-09,1124628.4679509583
2022-08-10,963051.2119506212
2022-08-11,734477.2479157718
2022-08-12,686765.916355952
2022-08-13,965123.7187242301
2022-08-14,727328.1165132576
2022-08-15,568791.036983839
2022-08-16,852665.8161821319
2022-08-17,308174.6316339865
2022-08-18,641305.5920848174
2022-08-19,992035.4940700149
2022-08-20,909647.52776324
2022-08-21,550356.8665413638
2022-08-22,444580.58294312656
2022-08-23,506427.01731587807
2022-08-24,516381.2549584196
2022-08-25,348530.6141624171
2022-08-26,643640.4736251538
2022-08-27,1007927.9944582814
2022-08-28,316335.0107388445
2022-08-29,646548.3141143396
2022-08-30,454797.87632532464
2022-08-31,633617.3965047323
2022-09-01,363808.4520304594
2022-09-02,437037.27110769786
2022-09-03,572933.5619351631
2022-09-04,130742.95418903418
2022-09-05,472860.84345199214
2022-09-06,603684.684327668
2022-09-07,797701.3194989483
2022-09-08,743830.2851218404
2022-09-09,327276.8304262012
2022-09-10,1169585.5934173581
2022-09-11,491121.530206752
2022-09-12,873411.2344894866
2022-09-13,920750.9806445371
2022-09-14,823621.0761798881
2022-09-15,1258666.8888878468
2022-09-16,651659.6492454531
2022-09-17,947128.6672464637
2022-09-18,313076.35580278747
2022-09-19,600134.1407146901
2022-09-20,591167.6422396051
2022-09-21,695343.9106363151
2022-09-22,520236.4568053549
2022-09-23,515350.31751471665
2022-09-24,696141.5832934268
2022-09-25,363926.88661697507
2022-09-26,375538.188925785
2022-09-27,436324.9555147225
2022-09-28,367328.02469824906
2022-09-29,535013.3628876312
2022-09-30,571752.8167609284
2022-10-01,1100907.0942775467
2022-10-02,971151.4660430718
2022-10-03,526146.8242995506
2022-10-04,242479.1190156974
2022-10-05,360487.4060389558
2022-10-06,492496.425465201
2022-10-07,421687.8843507897
2022-10-08,777611.6304033604
2022-10-09,155129.83626123797
2022-10-10,225299.8955503758
2022-10-11,304505.22226945404
2022-10-12,252221.3848554967
2022-10-13,1044193.9754490582
2022-10-14,493392.7614498064
2022-10-15,872682.7260946427
2022-10-16,483782.1950930068
2022-10-17,521676.4420991624
2022-10-18,44459.847986047156
2022-10-19,283147.39174784906
2022-10-20,92021.30932073668
2022-10-21,327564.6492325077
2022-10-22,279127.9974362785
2022-10-23,192336.20857125148
2022-10-24,139271.87072441168
2022-10-25,129384.47755258903
2022-10-26,854825.3845111364
2022-10-27,313535.49886043184
2022-10-28,685429.1926631154
2022-10-29,330252.33387738373
2022-10-30,263438.5001762267
2022-10-31,279343.3075193744
2022-11-01,1131541.4953580145
2022-11-02,661620.3161131525
2022-11-03,810058.6740484405
2022-11-04,461616.2139465194
2022-11-05,712303.4313219786
2022-11-06,355807.17168011516
2022-11-07,492366.23874809965
2022-11-08,1235478.3948604763
2022-11-09,1745071.3967490438
2022-11-10,1782524.818411298
2022-11-11,1159993.2312641554
2022-11-12,560796.0095481947
2022-11-13,290568.9770993665
2022-11-14,254801.47833282687
2022-11-15,293060.62287222967
2022-11-16,278820.50950502045
2022-11-17,370837.9353807587
2022-11-18,655386.7241049148
2022-11-19,474271.14359078556
2022-11-20,345375.2834362313
2022-11-21,321477.660004545
2022-11-22,382492.6063875668
2022-11-23,413275.82346211
2022-11-24,215815.14135478623
2022-11-25,418974.01336169057
2022-11-26,770455.3573644124
2022-11-27,82671.35945291072
2022-11-28,154746.65472839028
2022-11-29,347262.67354875803
2022-11-30,388547.87895004265
2022-12-01,197353.55738444254
2022-12-02,429193.28030071035
2022-12-03,293870.4600342419
2022-12-04,193568.94450185634
2022-12-05,331413.402315991
2022-12-06,241628.68475030363
2022-12-07,238027.28165676817
2022-12-08,67623.09874307923
2022-12-09,204617.00844652392
2022-12-10,355938.9847941417
2022-12-11,319156.66244924255
2022-12-12,92734.48143429123
2022-12-13,817146.6870267056
2022-12-14,280525.6489659939
2022-12-15,257353.55849236064
2022-12-16,339665.54987005703
2022-12-17,339665.54987005703
2022-12-18,289597.1834815014
2022-12-19,392285.596327113
2022-12-20,165295.5734933056
2022-12-21,350465.12241167575
2022-12-22,769864.9738418162
2022-12-23,165345.88615203276
2022-12-24,120721.35450521111
2022-12-25,155207.85971926525
2022-12-26,200044.32423197664
2022-12-27,163662.8851576224
