name,total24h,total7d,total30d
Plenty,9997.290969993139,153351.90756345802,758367.6227042602
QuipuSwap V1,8590.739633005784,121782.54214188794,599845.289492967
Vortex Protocol,4783.0646766755,9179.337436244496,56167.429724305104
Total,23371.095279674424,284313.78714159044,1414380.3419215323
