date,dex_volume
2019-10-10,929560.1686759855
2019-10-11,369449.18406718737
2019-10-12,425513.3585221346
2019-10-13,786171.7472607518
2019-10-14,664778.7958460094
2019-10-15,1216313.13046972
2019-10-16,1140773.5578648439
2019-10-17,800401.0827349544
2019-10-18,370155.3896429694
2019-10-19,442230.7939487982
2019-10-20,761421.1488565959
2019-10-21,676933.8821930528
2019-10-22,1631323.9685118655
2019-10-23,680305.3036629141
2019-10-24,1778169.9119956873
2019-10-25,2508354.217084575
2019-10-26,913460.0738800588
2019-10-27,1047443.9792878481
2019-10-28,899496.7345381064
2019-10-29,677220.8869676422
2019-10-30,1118844.2542738093
2019-10-31,1151043.108379028
2019-11-01,415186.7995507141
2019-11-02,540544.5545675119
2019-11-03,608122.2300860144
2019-11-04,723387.7158511272
2019-11-05,927883.413794467
2019-11-06,1542229.8167398314
2019-11-07,1131155.5995463098
2019-11-08,988053.1885022204
2019-11-09,932849.9807691255
2019-11-10,1355637.8794643197
2019-11-11,909204.8821999315
2019-11-12,781579.6156557435
2019-11-13,994394.749088591
2019-11-14,1410739.5962601455
2019-11-15,500099.271803119
2019-11-16,888837.1216348574
2019-11-17,1049073.5257736132
2019-11-18,2070077.5313108037
2019-11-19,1954890.6985589988
2019-11-20,3583471.252597217
2019-11-21,8040170.429278473
2019-11-22,2184077.5495620416
2019-11-23,2984111.2041640645
2019-11-24,5594382.336252186
2019-11-25,1705946.3387491717
2019-11-26,1873733.0371950108
2019-11-27,1601216.7847842518
2019-11-28,2623873.7294102623
2019-11-29,1979306.8624112753
2019-11-30,2267612.486721639
2019-12-01,3300241.780260896
2019-12-02,2935733.5722737894
2019-12-03,3622721.5477666347
2019-12-04,3648722.651085576
2019-12-05,1246127.1656859948
2019-12-06,1221006.1279247275
2019-12-07,1413557.248933084
2019-12-08,1085405.7229209936
2019-12-09,1875526.4127117854
2019-12-10,1929590.6586757924
2019-12-11,1090661.6192744842
2019-12-12,934888.7878091653
2019-12-13,1305699.0066447174
2019-12-14,977696.972262206
2019-12-15,2182617.92599478
2019-12-16,4170457.7541210526
2019-12-17,2840452.6160690216
2019-12-18,2082836.1061786013
2019-12-19,1801198.3827662093
2019-12-20,1242418.0323950718
2019-12-21,1187892.3168734629
2019-12-22,1812149.7595888108
2019-12-23,3828471.0200810456
2019-12-24,4802480.888358479
2019-12-25,1540344.6727291492
2019-12-26,801099.2952835849
2019-12-27,688862.1802552288
2019-12-28,997096.1277626047
