Chain,Borrowed Assets
Polygon,94770718.17559001
Ethereum,1689001574.90266
Avalanche,210356887.90296
Arbitrum,21504378.67031
Harmony,1091106.33879
Fantom,186605.34054
Optimism,19869956.53913
Total,2036781227.8699799
