date,Bitcoin,Aptos
2019-12-18,7274.768503792503,
2019-12-19,7152.558691632884,
2019-12-20,7185.439179630756,
2019-12-21,7141.554857046259,
2019-12-22,7488.196174601466,
2019-12-23,7335.207616177015,
2019-12-24,7266.60819662888,
2019-12-25,7204.1848756885975,
2019-12-26,7208.489307892152,
2019-12-27,7247.62371236525,
2019-12-28,7307.887522683333,
2019-12-29,7394.029285530991,
2019-12-30,7240.4289122518185,
2019-12-31,7195.153895430029,
2020-01-01,7193.7546679601,
2020-01-02,6963.853353983485,
2020-01-03,7300.34693530511,
2020-01-04,7351.377053166627,
2020-01-05,7349.972248050628,
2020-01-06,7734.675515785289,
2020-01-07,8147.415237636371,
2020-01-08,8045.789124592971,
2020-01-09,7832.795643840387,
2020-01-10,8180.513169803805,
2020-01-11,8012.085781814529,
2020-01-12,8171.401185320944,
2020-01-13,8110.647964503772,
2020-01-14,8801.871213137745,
2020-01-15,8820.85010599613,
2020-01-16,8720.91950137424,
2020-01-17,8902.568995225329,
2020-01-18,8906.902675151074,
2020-01-19,8690.380569544623,
2020-01-20,8631.253954333763,
2020-01-21,8724.818622931474,
2020-01-22,8665.436914096897,
2020-01-23,8415.956027335538,
2020-01-24,8432.096675789418,
2020-01-25,8348.665665079325,
2020-01-26,8595.728298493115,
2020-01-27,8879.335548714553,
2020-01-28,9320.805853868467,
2020-01-29,9276.893821086494,
2020-01-30,9509.80513557522,
2020-01-31,9308.060285564778,
2020-02-01,9363.22420680057,
2020-02-02,9338.416631939404,
2020-02-03,9308.91270229121,
2020-02-04,9179.95928107711,
2020-02-05,9592.18387389791,
2020-02-06,9744.636578159387,
2020-02-07,9799.448455824684,
2020-02-08,9890.701658194865,
2020-02-09,10148.379719131783,
2020-02-10,9890.121224019967,
2020-02-11,10226.925769215322,
2020-02-12,10328.897565836414,
2020-02-13,10221.260309201634,
2020-02-14,10320.157140513991,
2020-02-15,9894.136123789158,
2020-02-16,9943.673602578743,
2020-02-17,9723.605026422496,
2020-02-18,10133.817417084678,
2020-02-19,9618.409248250406,
2020-02-20,9608.16918128246,
2020-02-21,9673.011800270346,
2020-02-22,9658.606058375473,
2020-02-23,9946.716123467522,
2020-02-24,9670.9608064677,
2020-02-25,9345.342701734848,
2020-02-26,8801.657129472504,
2020-02-27,8781.175282202359,
2020-02-28,8717.331431359424,
2020-02-29,8552.989118581636,
2020-03-01,8567.802248679225,
2020-03-02,8905.876104262194,
2020-03-03,8756.718576742549,
2020-03-04,8758.646993191916,
2020-03-05,9038.870323233425,
2020-03-06,9135.84506603321,
2020-03-07,8902.20195010789,
2020-03-08,8041.365538071835,
2020-03-09,7921.33200691072,
2020-03-10,7906.731528510632,
2020-03-11,7935.522040170545,
2020-03-12,5142.990459018316,
2020-03-13,5542.819542373153,
2020-03-14,5214.189112383918,
2020-03-15,5397.93335743919,
2020-03-16,5032.501351487721,
2020-03-17,5389.41577503409,
2020-03-18,5376.280747845438,
2020-03-19,6170.200600237675,
2020-03-20,6195.603505257629,
2020-03-21,6145.770891252399,
2020-03-22,5859.647430299388,
2020-03-23,6456.347485963419,
2020-03-24,6730.173782371188,
2020-03-25,6695.9006183977235,
2020-03-26,6765.56207892991,
2020-03-27,6397.826328325604,
2020-03-28,6255.000398693634,
2020-03-29,5915.337154791903,
2020-03-30,6403.141235565223,
2020-03-31,6421.70541388854,
2020-04-01,6640.797666310131,
2020-04-02,6807.897017890566,
2020-04-03,6732.852018394612,
2020-04-04,6859.424923721944,
2020-04-05,6788.048272605917,
2020-04-06,7297.635558289496,
2020-04-07,7196.782202442051,
2020-04-08,7342.291601148024,
2020-04-09,7294.488875121554,
2020-04-10,6864.694257006497,
2020-04-11,6878.781212589853,
2020-04-12,6913.158787469097,
2020-04-13,6857.538537511484,
2020-04-14,6860.17853570111,
2020-04-15,6629.431738031291,
2020-04-16,7059.92622475854,
2020-04-17,7035.261503989225,
2020-04-18,7242.5109294929825,
2020-04-19,7127.511949689152,
2020-04-20,6856.456278354705,
2020-04-21,6842.038597634602,
2020-04-22,7109.995291181778,
2020-04-23,7382.793144116689,
2020-04-24,7495.393587498606,
2020-04-25,7538.557687279841,
2020-04-26,7683.867415083342,
2020-04-27,7774.281554448049,
2020-04-28,7758.230255185947,
2020-04-29,8744.430287016561,
2020-04-30,8610.63580374089,
2020-05-01,8824.818413551968,
2020-05-02,8966.307014689282,
2020-05-03,8888.671912686868,
2020-05-04,8884.407813577056,
2020-05-05,9003.240557621584,
2020-05-06,9144.68703972007,
2020-05-07,9959.166416261767,
2020-05-08,9821.81131529702,
2020-05-09,9566.777187205966,
2020-05-10,8752.617087745832,
2020-05-11,8604.75159101983,
2020-05-12,8788.466749414652,
2020-05-13,9283.08601265873,
2020-05-14,9796.494527024528,
2020-05-15,9309.29535940684,
2020-05-16,9375.29710843331,
2020-05-17,9666.32719340344,
2020-05-18,9708.439858793108,
2020-05-19,9760.198937162193,
2020-05-20,9526.50759300584,
2020-05-21,9059.962506871727,
2020-05-22,9131.767275081993,
2020-05-23,9170.361063506127,
2020-05-24,8731.848525870651,
2020-05-25,8883.691769863415,
2020-05-26,8839.130663273247,
2020-05-27,9174.118563996424,
2020-05-28,9546.04563503715,
2020-05-29,9427.120373393418,
2020-05-30,9662.70587254818,
2020-05-31,9466.961781429516,
2020-06-01,10167.93069332851,
2020-06-02,9515.243858655718,
2020-06-03,9645.227869360308,
2020-06-04,9776.20299178848,
2020-06-05,9636.965527050057,
2020-06-06,9662.858709002241,
2020-06-07,9738.603356828593,
2020-06-08,9773.02951309516,
2020-06-09,9767.00531665552,
2020-06-10,9874.898681832236,
2020-06-11,9325.996856202635,
2020-06-12,9469.533297509908,
2020-06-13,9469.473456163696,
2020-06-14,9345.960907722063,
2020-06-15,9431.719262201745,
2020-06-16,9524.92661691022,
2020-06-17,9463.361414311787,
2020-06-18,9399.767217129216,
2020-06-19,9312.780104497786,
2020-06-20,9360.247968201687,
2020-06-21,9298.360829121417,
2020-06-22,9678.683208975835,
2020-06-23,9624.684291831398,
2020-06-24,9288.061774486938,
2020-06-25,9258.667161007706,
2020-06-26,9166.486360416233,
2020-06-27,9013.90556467614,
2020-06-28,9139.903276297824,
2020-06-29,9185.166540651147,
2020-06-30,9149.721996758017,
2020-07-01,9230.672998590804,
2020-07-02,9094.318072166905,
2020-07-03,9071.3850427828,
2020-07-04,9132.908369533492,
2020-07-05,9087.407312582163,
2020-07-06,9342.376492626678,
2020-07-07,9253.630980242333,
2020-07-08,9432.172515827939,
2020-07-09,9235.716302064242,
2020-07-10,9282.913638839902,
2020-07-11,9234.314674712627,
2020-07-12,9297.479635872663,
2020-07-13,9240.76251972468,
2020-07-14,9247.060695963813,
2020-07-15,9203.371435179699,
2020-07-16,9136.483376363976,
2020-07-17,9156.276583115488,
2020-07-18,9168.402736564132,
2020-07-19,9202.615839500108,
2020-07-20,9163.159654576915,
2020-07-21,9384.379751903267,
2020-07-22,9514.304987626969,
2020-07-23,9589.81771944117,
2020-07-24,9535.93879573746,
2020-07-25,9691.825138917147,
2020-07-26,9925.751397476346,
2020-07-27,10962.258481207355,
2020-07-28,10904.916526918994,
2020-07-29,11093.612240442404,
2020-07-30,11116.307163685275,
2020-07-31,11325.5515272739,
2020-08-01,11812.094307268515,
2020-08-02,11066.306240590267,
2020-08-03,11230.907762749297,
2020-08-04,11181.917508034885,
2020-08-05,11719.26352395155,
2020-08-06,11768.127742240009,
2020-08-07,11571.487980683192,
2020-08-08,11739.131006414418,
2020-08-09,11682.851469154939,
2020-08-10,11862.938012702563,
2020-08-11,11398.671060896633,
2020-08-12,11579.867951602135,
2020-08-13,11817.164038803397,
2020-08-14,11777.391322489924,
2020-08-15,11864.905810156475,
2020-08-16,11901.776488302461,
2020-08-17,12272.465808160425,
2020-08-18,11949.610970628193,
2020-08-19,11733.278970862082,
2020-08-20,11861.83657727968,
2020-08-21,11515.124298729217,
2020-08-22,11676.385305081287,
2020-08-23,11647.928120934363,
2020-08-24,11758.828120368864,
2020-08-25,11350.753473213,
2020-08-26,11465.002564032086,
2020-08-27,11300.398363810944,
2020-08-28,11519.118388160729,
2020-08-29,11481.481823317012,
2020-08-30,11701.004008657852,
2020-08-31,11672.324104943627,
2020-09-01,11895.225345345636,
2020-09-02,11418.254756916149,
2020-09-03,10197.459822768922,
2020-09-04,10484.470392265588,
2020-09-05,10177.789718049991,
2020-09-06,10260.0177277544,
2020-09-07,10359.445216989981,
2020-09-08,10125.014956069688,
2020-09-09,10230.154699360752,
2020-09-10,10342.159391205681,
2020-09-11,10378.223044584596,
2020-09-12,10439.38467226404,
2020-09-13,10328.866065987393,
2020-09-14,10661.096235144483,
2020-09-15,10787.58020807624,
2020-09-16,10952.249969107099,
2020-09-17,10937.996396960929,
2020-09-18,10927.150310293275,
2020-09-19,11083.99836119821,
2020-09-20,10923.32666818137,
2020-09-21,10439.522488792423,
2020-09-22,10527.58784673943,
2020-09-23,10223.784106392732,
2020-09-24,10726.530083321983,
2020-09-25,10681.993848113701,
2020-09-26,10743.19287975935,
2020-09-27,10765.300521660893,
2020-09-28,10672.02854425897,
2020-09-29,10837.516586513004,
2020-09-30,10770.881347466415,
2020-10-01,10627.976063963179,
2020-10-02,10572.674843011133,
2020-10-03,10546.65625537982,
2020-10-04,10670.700811335208,
2020-10-05,10784.94940309411,
2020-10-06,10605.95779130622,
2020-10-07,10668.011010796896,
2020-10-08,10888.666546835811,
2020-10-09,11063.2523862591,
2020-10-10,11286.541942043945,
2020-10-11,11377.814876756858,
2020-10-12,11543.183760771468,
2020-10-13,11426.105544220427,
2020-10-14,11435.57243757972,
2020-10-15,11495.584995733887,
2020-10-16,11319.097785677623,
2020-10-17,11365.814131026178,
2020-10-18,11495.899975689872,
2020-10-19,11752.146863919786,
2020-10-20,11908.708923246453,
2020-10-21,12806.435726727443,
2020-10-22,12951.044060038126,
2020-10-23,12928.072296348406,
2020-10-24,13106.04601925958,
2020-10-25,13021.410842124118,
2020-10-26,13060.79221208406,
2020-10-27,13655.185415883081,
2020-10-28,13282.999348292438,
2020-10-29,13441.878496031612,
2020-10-30,13537.174271524887,
2020-10-31,13778.637638352931,
2020-11-01,13720.361465146289,
2020-11-02,13558.361795524168,
2020-11-03,13989.976358180447,
2020-11-04,14101.716050813722,
2020-11-05,15553.331701081443,
2020-11-06,15548.312145063144,
2020-11-07,14818.45891122149,
2020-11-08,15496.316149147417,
2020-11-09,15335.342198178862,
2020-11-10,15278.70965979927,
2020-11-11,15686.905986213233,
2020-11-12,16265.149252483357,
2020-11-13,16326.81487507908,
2020-11-14,16095.561510630652,
2020-11-15,15984.673784156614,
2020-11-16,16714.40386322188,
2020-11-17,17651.82042768171,
2020-11-18,17829.934958345126,
2020-11-19,17819.75743096837,
2020-11-20,18628.813489036198,
2020-11-21,18689.528655825852,
2020-11-22,18390.61184379203,
2020-11-23,18360.693300385865,
2020-11-24,19091.524181728702,
2020-11-25,18753.288921684914,
2020-11-26,17138.029512395206,
2020-11-27,17140.27555252362,
2020-11-28,17718.972832629497,
2020-11-29,18169.95420978285,
2020-11-30,19609.52143957559,
2020-12-01,18857.417371118165,
