Date,TVL
2022-12-10T19:00:00,27280246.59325
2022-12-11T19:00:00,27773906.46708
2022-12-12T19:00:00,28313885.24947
2022-12-13T19:00:00,28754292.53463
2022-12-14T19:00:00,28585639.8662
2022-12-15T19:00:00,27728269.85295
2022-12-16T19:00:00,28203001.00585
2022-12-17T19:00:00,28454262.24996
2022-12-18T19:00:00,28612758.06241
2022-12-19T19:00:00,28361909.93016
2022-12-20T19:00:00,27945570.75224
2022-12-21T19:00:00,28030323.90779
2022-12-22T19:00:00,27857983.0937
2022-12-23T19:00:00,27669886.67781
2022-12-24T19:00:00,27714608.16449
2022-12-25T19:00:00,27805860.38809
2022-12-26T19:00:00,27841637.84958
2022-12-27T19:00:00,27209821.18126
2022-12-28T19:00:00,27050656.46253
2022-12-29T19:00:00,26761214.20901
2022-12-30T19:00:00,26586325.94199
2022-12-31T19:00:00,26906302.89754
2023-01-01T19:00:00,27955067.54994
2023-01-02T19:00:00,28207491.88686
2023-01-03T19:00:00,28643019.21467
2023-01-04T19:00:00,28115192.44508
2023-01-05T19:00:00,28183493.17203
2023-01-06T19:00:00,28148159.61294
2023-01-07T19:00:00,28066036.33982
2023-01-08T19:00:00,28227687.24949
2023-01-09T19:00:00,28560240.64099
2023-01-10T19:00:00,28701215.6921
2023-01-11T19:00:00,28699011.34613
2023-01-12T19:00:00,28536305.70023
2023-01-13T19:00:00,29284120.09112
2023-01-14T19:00:00,29476517.67239
2023-01-15T19:00:00,30148924.62515
2023-01-16T19:00:00,30588003.148
2023-01-17T19:00:00,31210972.84541
2023-01-18T19:00:00,31005857.3984
2023-01-19T19:00:00,34354344.44186
2023-01-20T19:00:00,44097715.13345
2023-01-21T19:00:00,40620840.03508
2023-01-22T19:00:00,41218685.60033
2023-01-23T19:00:00,42195150.37778
2023-01-24T19:00:00,41902164.47549
2023-01-25T19:00:00,41916937.15385
2023-01-26T19:00:00,42542240.74668
2023-01-27T19:00:00,42199843.71619
2023-01-28T19:00:00,42726898.65149
2023-01-29T19:00:00,45207151.14148
2023-01-30T19:00:00,49324428.58132
2023-01-31T19:00:00,49725480.46186
2023-02-01T19:00:00,50261362.24175
2023-02-02T19:00:00,51150135.17202
2023-02-03T19:00:00,53024924.66937
2023-02-04T19:00:00,58503754.51878
2023-02-05T19:00:00,61579630.52709
2023-02-06T19:00:00,68134038.55303
2023-02-07T19:00:00,80416820.32837
2023-02-08T19:00:00,80049780.95992
2023-02-09T19:00:00,82794718.94132
2023-02-10T19:00:00,76254282.12071
2023-02-11T19:00:00,76489672.67103
2023-02-12T19:00:00,76207309.10562
2023-02-13T19:00:00,74493213.96893
2023-02-14T19:00:00,72986158.45962
2023-02-15T19:00:00,76249334.36673
2023-02-16T19:00:00,74404370.80266
2023-02-17T19:00:00,76762029.78518
2023-02-18T19:00:00,79542261.14759
2023-02-19T19:00:00,80609606.39154
2023-02-20T19:00:00,82805364.84645
2023-02-21T19:00:00,82225393.98302
2023-02-22T19:00:00,85614641.9631
2023-02-23T19:00:00,88594005.25361
2023-02-24T19:00:00,98759000.92649
2023-02-25T19:00:00,101537097.28491
2023-02-26T19:00:00,108935817.08569
2023-02-27T19:00:00,114827948.01279
2023-02-28T19:00:00,128993332.37696
2023-03-01T19:00:00,122693384.25585
2023-03-02T19:00:00,125004751.53766
2023-03-03T19:00:00,123334956.99132
2023-03-04T19:00:00,123073311.91008
2023-03-05T19:00:00,127255026.55268
2023-03-06T19:00:00,130670723.20919
2023-03-07T19:00:00,134293139.86016
2023-03-08T19:00:00,137560418.42347
2023-03-09T19:00:00,135253003.55829
2023-03-10T19:00:00,129673416.19869
2023-03-11T19:00:00,127166406.72259
2023-03-12T20:00:00,137869598.88199
2023-03-13T20:00:00,136057491.19217
2023-03-14T20:00:00,136136476.0786
2023-03-15T20:00:00,139723461.88004
2023-03-16T20:00:00,139275138.32845
2023-03-17T20:00:00,147966475.8355
2023-03-18T20:00:00,147728233.93602
2023-03-19T20:00:00,24556577.67239
2023-03-20T20:00:00,144410303.4037
2023-03-21T20:00:00,141843519.13252
2023-03-22T20:00:00,142463495.57874
2023-03-23T20:00:00,131378646.42832
2023-03-24T20:00:00,123913270.50763
2023-03-25T20:00:00,122412176.65062
2023-03-26T20:00:00,123266428.97489
2023-03-27T20:00:00,124217676.07266
2023-03-28T20:00:00,138167883.94105
2023-03-29T20:00:00,149049878.15425
2023-03-30T20:00:00,174771923.5896
2023-03-31T20:00:00,175779882.56737
2023-04-01T20:00:00,170159127.43118998
2023-04-02T20:00:00,169842482.88864
2023-04-03T20:00:00,175406575.73580998
2023-04-04T20:00:00,189012973.83971
2023-04-05T20:00:00,190094337.25520998
2023-04-06T20:00:00,188142145.39826998
2023-04-07T20:00:00,191318817.17354
2023-04-08T20:00:00,191861012.57377
2023-04-09T20:00:00,194183044.50576
2023-04-10T20:00:00,198228853.07383
2023-04-11T20:00:00,203588925.40809998
2023-04-12T20:00:00,203178504.11036
2023-04-13T20:00:00,199892149.22495002
2023-04-14T20:00:00,225568671.18568
2023-04-15T20:00:00,230523902.18655002
2023-04-16T20:00:00,231546729.38453
2023-04-17T20:00:00,242034215.05122
2023-04-18T20:00:00,244190070.47353
2023-04-19T20:00:00,237375201.79468
2023-04-20T20:00:00,236102185.55881
2023-04-21T20:00:00,232645262.72903
2023-04-22T20:00:00,213137715.31395
2023-04-23T20:00:00,219539276.47265
2023-04-24T20:00:00,221157513.0249
2023-04-25T20:00:00,225726297.88296002
2023-04-26T20:00:00,232238160.34702998
2023-04-27T20:00:00,237334279.38375002
2023-04-28T20:00:00,262901618.49034
2023-04-29T20:00:00,267971601.03191
2023-04-30T20:00:00,233146869.87842998
2023-05-01T20:00:00,229378794.30238
2023-05-02T20:00:00,249162023.25394
2023-05-03T20:00:00,270287389.29467005
2023-05-04T20:00:00,266150383.53895998
2023-05-05T20:00:00,279370085.49233
2023-05-06T20:00:00,273352711.68329
2023-05-07T20:00:00,272427308.67688
2023-05-08T20:00:00,264859388.92428002
2023-05-09T20:00:00,264285929.83821
2023-05-10T20:00:00,262473154.37941998
2023-05-11T20:00:00,261918152.31353
2023-05-12T20:00:00,259920743.15635002
2023-05-13T20:00:00,259340726.41511
2023-05-14T20:00:00,257901316.51116
2023-05-15T20:00:00,258681613.07342
2023-05-16T20:00:00,260597102.07750002
2023-05-17T20:00:00,263194538.67884
2023-05-18T20:00:00,258532666.53893
2023-05-19T20:00:00,258306350.44686002
2023-05-20T20:00:00,260045710.70806
2023-05-21T20:00:00,255211074.64968997
2023-05-22T20:00:00,255550598.84939998
2023-05-23T20:00:00,255739710.66128
2023-05-24T20:00:00,249765789.35189
2023-05-25T20:00:00,251131965.91602
2023-05-26T20:00:00,254275541.64453
2023-05-27T20:00:00,255949484.47201
2023-05-28T20:00:00,263790583.56269
2023-05-29T20:00:00,257724138.85975
2023-05-30T20:00:00,259125700.94845998
