protocol_name,total24h,change_1d,change_7d,change_1m
Lifinity,432.13644347526014,-58.36,-63.16,-68.65
Raydium,15654.124087045022,-26.21,-65.27,-22.25
Solana,48659.3710896657,-6.0,-10.85,47.02
