date,ethereum_compound,total_fees
2019-09-30,1020.009744823619,1020.009744823619
2019-10-01,994.881669955937,994.881669955937
2019-10-02,995.8317718577673,995.8317718577673
2019-10-03,1029.3777187562944,1029.3777187562944
2019-10-04,985.644473538801,985.644473538801
2019-10-05,1045.638078989225,1045.638078989225
2019-10-06,1054.8312526814225,1054.8312526814225
2019-10-07,1050.9923233585994,1050.9923233585994
2019-10-08,1013.4342139422938,1013.4342139422938
2019-10-09,979.9811030599161,979.9811030599161
2019-10-10,998.2746057427668,998.2746057427668
2019-10-11,980.0384109368192,980.0384109368192
2019-10-12,984.6373497076527,984.6373497076527
2019-10-13,976.3100470765455,976.3100470765455
2019-10-14,993.509301901696,993.509301901696
2019-10-15,982.3555620142957,982.3555620142957
2019-10-16,982.7755302136956,982.7755302136956
2019-10-17,984.5372523872481,984.5372523872481
2019-10-18,955.4680403921087,955.4680403921087
2019-10-19,993.5682180932581,993.5682180932581
2019-10-20,954.9524446458145,954.9524446458145
2019-10-21,981.6740657851079,981.6740657851079
2019-10-22,1005.2668680495424,1005.2668680495424
2019-10-23,935.2910701919947,935.2910701919947
2019-10-24,892.539961708004,892.539961708004
2019-10-25,925.1658899654254,925.1658899654254
2019-10-26,905.4052625377933,905.4052625377933
2019-10-27,898.4608659437165,898.4608659437165
2019-10-28,877.8116133485056,877.8116133485056
2019-10-29,871.1872125676592,871.1872125676592
2019-10-30,892.7971247384396,892.7971247384396
2019-10-31,886.6718104574667,886.6718104574667
2019-11-01,872.7151769837075,872.7151769837075
2019-11-02,858.977199003726,858.977199003726
2019-11-03,824.6579736280592,824.6579736280592
2019-11-04,752.6683092053169,752.6683092053169
2019-11-05,705.0379069228464,705.0379069228464
2019-11-06,693.4677832937779,693.4677832937779
2019-11-07,716.0939719089116,716.0939719089116
2019-11-08,697.2265398187837,697.2265398187837
2019-11-09,675.3694363932749,675.3694363932749
2019-11-10,683.5541758913546,683.5541758913546
2019-11-11,671.2146723313778,671.2146723313778
2019-11-12,677.5003440334463,677.5003440334463
2019-11-13,693.7486581448401,693.7486581448401
2019-11-14,687.2648140199433,687.2648140199433
2019-11-15,689.1756617359036,689.1756617359036
2019-11-16,718.9956762237682,718.9956762237682
2019-11-17,692.8597488693209,692.8597488693209
2019-11-18,714.9961311551004,714.9961311551004
2019-11-19,704.5854159246833,704.5854159246833
2019-11-20,706.3806729909844,706.3806729909844
2019-11-21,652.5013391199378,652.5013391199378
2019-11-22,603.7932435986487,603.7932435986487
2019-11-23,623.9456791959155,623.9456791959155
2019-11-24,562.2822327019837,562.2822327019837
2019-11-25,544.4706296863487,544.4706296863487
2019-11-26,546.589587433469,546.589587433469
2019-11-27,552.2374896950408,552.2374896950408
2019-11-28,562.3763302132625,562.3763302132625
2019-11-29,563.8526940482383,563.8526940482383
2019-11-30,540.109742665669,540.109742665669
2019-12-01,557.3945175117129,557.3945175117129
2019-12-02,548.6438940442548,548.6438940442548
2019-12-03,492.7197137989229,492.7197137989229
2019-12-04,509.3945076241765,509.3945076241765
2019-12-05,512.3578116733626,512.3578116733626
2019-12-06,500.7534539449796,500.7534539449796
2019-12-07,472.3467988545595,472.3467988545595
2019-12-08,466.2085315773518,466.2085315773518
2019-12-09,470.84935621077125,470.84935621077125
2019-12-10,470.9205979593188,470.9205979593188
2019-12-11,459.7628109715292,459.7628109715292
2019-12-12,456.47984031601686,456.47984031601686
2019-12-13,424.24951624267936,424.24951624267936
2019-12-14,412.2358101554867,412.2358101554867
2019-12-15,418.1544194374319,418.1544194374319
2019-12-16,386.3508785521257,386.3508785521257
2019-12-17,375.1176708563312,375.1176708563312
2019-12-18,386.1409579864237,386.1409579864237
2019-12-19,361.7140942543613,361.7140942543613
2019-12-20,367.98720076924207,367.98720076924207
2019-12-21,374.7305374874741,374.7305374874741
2019-12-22,368.2606713854973,368.2606713854973
2019-12-23,377.1869523650271,377.1869523650271
2019-12-24,397.46728267403273,397.46728267403273
2019-12-25,369.1276833668002,369.1276833668002
2019-12-26,392.776635751135,392.776635751135
2019-12-27,385.62373459861425,385.62373459861425
2019-12-28,376.02455894341307,376.02455894341307
2019-12-29,388.05701774356214,388.05701774356214
2019-12-30,401.55468867558494,401.55468867558494
2019-12-31,391.1296054217377,391.1296054217377
2020-01-01,437.0523376591532,437.0523376591532
2020-01-02,502.6359677377934,502.6359677377934
2020-01-03,512.2230110539124,512.2230110539124
2020-01-04,509.4225277570217,509.4225277570217
2020-01-05,515.5785520559724,515.5785520559724
2020-01-06,509.6767482457246,509.6767482457246
2020-01-07,552.561597488332,552.561597488332
2020-01-08,565.648857035546,565.648857035546
2020-01-09,624.2337899992561,624.2337899992561
2020-01-10,622.7427482675928,622.7427482675928
2020-01-11,623.7965793364856,623.7965793364856
2020-01-12,627.0845580240082,627.0845580240082
2020-01-13,640.1138043812181,640.1138043812181
2020-01-14,646.0432622553336,646.0432622553336
2020-01-15,639.3177519123122,639.3177519123122
2020-01-16,611.6506332263946,611.6506332263946
2020-01-17,625.009948133887,625.009948133887
2020-01-18,629.9968487987201,629.9968487987201
2020-01-19,648.3125526008687,648.3125526008687
2020-01-20,662.7706304151176,662.7706304151176
2020-01-21,637.6477468805467,637.6477468805467
2020-01-22,544.4423748104908,544.4423748104908
2020-01-23,499.24624384040527,499.24624384040527
2020-01-24,499.9180122098319,499.9180122098319
2020-01-25,522.0898639534001,522.0898639534001
2020-01-26,560.4304962797494,560.4304962797494
2020-01-27,560.1943497660972,560.1943497660972
2020-01-28,415.69621839632634,415.69621839632634
2020-01-29,394.6069796236482,394.6069796236482
2020-01-30,403.35419377579836,403.35419377579836
2020-01-31,395.61362480548564,395.61362480548564
2020-02-01,393.36052324120755,393.36052324120755
2020-02-02,390.36651061852234,390.36651061852234
2020-02-03,405.4894556286342,405.4894556286342
