date,avax_AAVE V2,avax_AAVE V3,ethereum_AAVE V2,ethereum_AAVE V3,fantom_AAVE V2,fantom_AAVE V3,harmony_AAVE V2,harmony_AAVE V3,optimism_AAVE V2,optimism_AAVE V3,polygon_AAVE V2,polygon_AAVE V3,total_fees
2021-04-21,0,0,219085.69334566538,0,0,0,0,0,0,0,59574.07434960323,0,278659.7676952686
2021-04-22,0,0,262314.35544968623,0,0,0,0,0,0,0,68751.823713118,0,331066.17916280427
2021-04-23,0,0,207341.89798642072,0,0,0,0,0,0,0,58353.49063919353,0,265695.3886256142
2021-04-24,0,0,183574.3061172915,0,0,0,0,0,0,0,67055.06303492165,0,250629.36915221316
2021-04-25,0,0,224937.5367317972,0,0,0,0,0,0,0,77044.4023411378,0,301981.939072935
2021-04-26,0,0,374200.2988924249,0,0,0,0,0,0,0,90251.96376594972,0,464452.2626583746
2021-04-27,0,0,495040.4905922017,0,0,0,0,0,0,0,103079.23682525542,0,598119.7274174572
2021-04-28,0,0,529262.3580063077,0,0,0,0,0,0,0,123592.96219828121,0,652855.3202045889
2021-04-29,0,0,586287.1770876384,0,0,0,0,0,0,0,147621.60976854633,0,733908.7868561847
2021-04-30,0,0,720469.7415776231,0,0,0,0,0,0,0,133072.83997701886,0,853542.581554642
2021-05-01,0,0,777456.4304977921,0,0,0,0,0,0,0,240410.9260547412,0,1017867.3565525333
2021-05-02,0,0,664901.3130913408,0,0,0,0,0,0,0,204737.07881475042,0,869638.3919060912
2021-05-03,0,0,1429326.0155921977,0,0,0,0,0,0,0,236179.79982445302,0,1665505.8154166506
2021-05-04,0,0,1155115.0300035689,0,0,0,0,0,0,0,192891.31887608973,0,1348006.3488796586
2021-05-05,0,0,1244265.0761107795,0,0,0,0,0,0,0,207974.70523056798,0,1452239.7813413476
