timestamp,tvlUSD,apy
04/09/2023,906686,0.0
04/10/2023,942140,0.02411
04/11/2023,902282,0.12732
04/12/2023,894675,0.04974
04/13/2023,945683,0.0
04/14/2023,1024634,0.02837
04/15/2023,1021090,0.01863
04/16/2023,1120075,0.52037
04/17/2023,1057989,0.0
04/18/2023,1065388,0.0
04/19/2023,995872,0.0
04/20/2023,970346,0.46931
04/21/2023,919160,0.05793
04/22/2023,950353,0.0
04/23/2023,942141,0.0
04/24/2023,930345,0.0
04/25/2023,949342,0.0
04/26/2023,944347,0.0
04/27/2023,959464,0.01799
04/28/2023,945774,0.02086
04/29/2023,955605,0.0
04/30/2023,953644,0.0
05/01/2023,935614,0.0
05/02/2023,972053,0.0
05/03/2023,1014876,0.0
05/04/2023,979247,0.0
05/05/2023,1014987,0.01776
05/06/2023,966824,0.0
05/07/2023,984438,0.0
05/08/2023,940906,0.11609
05/09/2023,938251,0.0
05/10/2023,938364,0.04157
05/11/2023,907793,0.0
05/12/2023,923363,0.0
05/13/2023,965354,0.06927
05/14/2023,981085,0.13103
05/15/2023,989466,0.01744
05/16/2023,969684,0.0
05/17/2023,967448,0.0
05/18/2023,964168,0.0
05/19/2023,963152,0.0
05/20/2023,964357,0.0
05/21/2023,959264,0.0
05/22/2023,943138,0.00175
05/23/2023,961043,0.0
05/24/2023,930680,0.0
05/25/2023,929542,0.02098
05/26/2023,945131,0.0
05/27/2023,950245,0.12685
05/28/2023,984645,0.03239
05/29/2023,975538,0.0
05/30/2023,981150,0.0
05/31/2023,969665,0.0
06/01/2023,965989,0.03651
06/02/2023,980106,0.01908
06/03/2023,964612,0.09254
06/04/2023,982220,0.0
06/05/2023,930399,0.10413
06/06/2023,965781,0.0
06/07/2023,945330,0.09328
06/08/2023,948445,0.0
06/09/2023,948774,0.0
06/10/2023,895279,0.0
06/11/2023,896313,0.0
06/12/2023,863348,0.833
06/13/2023,860606,0.05274
06/14/2023,824616,0.06392
06/15/2023,829722,0.08352
06/16/2023,855173,0.0
06/17/2023,862164,0.0
06/18/2023,860728,0.0
06/19/2023,853287,0.0
06/20/2023,878454,0.0
06/21/2023,897137,0.02147
06/22/2023,889845,0.00997
06/23/2023,878487,0.0
06/24/2023,848834,0.17485
06/25/2023,863085,0.03154
06/26/2023,837417,0.0
06/27/2023,853385,0.0
06/28/2023,827868,0.01194
06/29/2023,838088,0.01303
06/30/2023,866635,0.0
07/01/2023,857754,0.03008
07/02/2023,871861,0.09775
07/03/2023,880897,0.0
07/04/2023,877664,0.0
07/05/2023,853150,0.26381
07/06/2023,833377,0.0
07/07/2023,820306,0.0
